year,month,common_name,species_records,total_records,species_proportion,year_month
2025,8,Amur Stonechat,71,8799,0.008069098761222866,2025-08-01
2025,9,Amur Stonechat,222,16756,0.01324898543805204,2025-09-01
2025,10,Amur Stonechat,115,22069,0.005210929357922878,2025-10-01
2023,12,Anser sp.,1,13728,7.284382284382284e-05,2023-12-01
2024,2,Anser sp.,1,12284,8.140670791273201e-05,2024-02-01
2024,3,Anser sp.,2,21536,9.286775631500742e-05,2024-03-01
2024,4,Anser sp.,4,18363,0.00021782933071938136,2024-04-01
2024,6,Anser sp.,2,11494,0.00017400382808421786,2024-06-01
2024,7,Anser sp.,1,5937,0.0001684352366515075,2024-07-01
2024,11,Anser sp.,1,15788,6.333924499619965e-05,2024-11-01
2024,12,Anser sp.,1,10811,9.249838127832763e-05,2024-12-01
2025,2,Anser sp.,2,11940,0.00016750418760469013,2025-02-01
2025,3,Anser sp.,3,22675,0.00013230429988974642,2025-03-01
2025,4,Anser sp.,2,21104,9.476876421531463e-05,2025-04-01
2025,10,Anser sp.,2,22069,9.062485839865875e-05,2025-10-01
2026,3,Anser sp.,4,24793,0.00016133586092848787,2026-03-01
2016,11,Arctic Loon,2,1521,0.0013149243918474688,2016-11-01
2018,10,Arctic Loon,26,5202,0.004998077662437524,2018-10-01
2018,11,Arctic Loon,6,3323,0.0018055973517905506,2018-11-01
2020,3,Arctic Loon,1,7526,0.00013287270794578793,2020-03-01
2020,11,Arctic Loon,24,4484,0.0053523639607493305,2020-11-01
2024,11,Arctic Loon,14,15788,0.000886749429946795,2024-11-01
2015,4,Arctic Warbler,1,699,0.001430615164520744,2015-04-01
2015,5,Arctic Warbler,9,1669,0.005392450569203115,2015-05-01
2015,8,Arctic Warbler,2,599,0.00333889816360601,2015-08-01
2015,9,Arctic Warbler,1,570,0.0017543859649122807,2015-09-01
2016,5,Arctic Warbler,5,840,0.005952380952380952,2016-05-01
2016,6,Arctic Warbler,7,761,0.009198423127463863,2016-06-01
2016,8,Arctic Warbler,1,290,0.0034482758620689655,2016-08-01
2016,9,Arctic Warbler,1,731,0.0013679890560875513,2016-09-01
2017,5,Arctic Warbler,22,3200,0.006875,2017-05-01
2017,8,Arctic Warbler,2,487,0.004106776180698152,2017-08-01
2017,9,Arctic Warbler,6,2072,0.0028957528957528956,2017-09-01
2018,5,Arctic Warbler,31,6810,0.004552129221732746,2018-05-01
2018,8,Arctic Warbler,2,1383,0.0014461315979754157,2018-08-01
2018,9,Arctic Warbler,23,5634,0.0040823571175008875,2018-09-01
2019,5,Arctic Warbler,36,8255,0.00436099333737129,2019-05-01
2019,8,Arctic Warbler,10,3693,0.0027078256160303275,2019-08-01
2019,9,Arctic Warbler,30,5367,0.005589714924538848,2019-09-01
