common_name,season,month,month_name,n_years,intercept,temperature_beta,humidity_beta,prcp_beta,temperature_standardized_beta,humidity_standardized_beta,prcp_standardized_beta,r_squared,adjusted_r_squared,rmse
Gray Nightjar,Spring,5,May,9,0.003538426730085959,-9.879200094308148e-05,-1.5374413467975568e-05,-4.75743429796197e-07,-0.3199021010451032,-0.305066303252935,-0.03255884838447117,0.13318438980855885,-0.38690497630630594,0.000272337493894571
Gray-faced Buzzard,Spring,4,April,9,0.0014856885231337353,6.642862442519003e-05,3.4310316307297305e-05,-2.903638090783958e-05,0.0474346666029213,0.18620207546916345,-0.39339648934021426,0.08313511396229656,-0.4669838176603256,0.0010638958715815526
Gray-faced Buzzard,Spring,5,May,9,0.004100173443111686,-3.12168483645377e-05,-4.8007429615858455e-05,8.825492212914252e-06,-0.057539018122733245,-0.5422283465619538,0.34380584304101514,0.16969127625760172,-0.3284939579878372,0.0004682586343067724
Gray-headed Lapwing,Spring,3,March,8,0.017745477100585088,-0.0009746373907825979,-0.00018441281004680208,0.000180478158597834,-0.6849392512530419,-1.2156217953231312,0.8510017828864554,0.5986417427520713,0.29762304981612475,0.0007723701502944358
Gray-headed Lapwing,Spring,4,April,9,0.005990703956370767,-0.00022892843384695686,1.3712406808241367e-06,2.798484647725178e-05,-0.14942755343136338,0.006802426222504976,0.34657822989551607,0.12564040022706346,-0.3989753596366985,0.001136582955948235
Gray-headed Lapwing,Spring,5,May,9,-0.0007085065740685299,0.0003861182558672865,-0.00011534658121948644,-5.599869043439331e-06,0.3438249469032231,-0.6293933470683494,-0.10538913625781203,0.7804554834482793,0.6487287735172469,0.0004984064268863457
Gray-streaked Flycatcher,Spring,5,May,9,-0.0023535765756495628,6.87805934068568e-05,2.5786138670818104e-05,2.4620587385590643e-06,0.276631989483628,0.6355111399949505,0.20928389870216454,0.5371581301718409,0.25945300827494544,0.00016022092084586574
Graylag Goose,Spring,3,March,9,-0.0013755701442388609,0.00010455509052077766,8.882342440493135e-05,-5.866380255023093e-05,0.08332533315413851,0.6680150212311939,-0.3498962934759396,0.3091192484956835,-0.10540920240690643,0.0008425447457857237
Graylag Goose,Spring,4,April,9,-0.003911603725728699,0.00023669003560661066,6.327179994283844e-05,-2.5294144055768364e-05,0.1479780198368872,0.300639906991916,-0.30004377856318476,0.07773175871524507,-0.4756291860556079,0.0012187045619905135
Great Bustard,Spring,4,April,8,-0.0024814646698914414,0.000157573703659357,1.2752773687199464e-05,-1.4999213869709514e-05,0.40816627567822605,0.2759791309578328,-0.7813213409029635,0.38597745984446974,-0.07453944527217793,0.00023035375793212785
Greater Sand-Plover,Spring,4,April,8,0.005132807047880961,-0.000276677423458176,-9.00461756543949e-06,4.785019000462349e-05,-0.20205963702969326,-0.05009181315090225,0.6175355805506755,0.29187409425088207,-0.2392203350609563,0.0009236555240280172
Greater Sand-Plover,Spring,5,May,9,0.0057412335027203385,-0.00015288622903224822,-2.6446090260405535e-05,-1.000903232380542e-05,-0.3702617268785375,-0.39246623723008894,-0.512310752152303,0.6205403635839626,0.39286458173434013,0.00024092492091765287
Greater Spotted Eagle,Spring,4,April,9,0.00887230323659049,-0.0003121520198310999,-7.176630975659118e-05,1.1515415394030589e-05,-0.41290006969373033,-0.7214705771680233,0.2890053067812891,0.580363480722164,0.32858156915546244,0.0003885481789002551
Greater Spotted Eagle,Spring,5,May,9,-0.0024291898570245793,0.0001677888114873542,-1.934590143217257e-05,3.74555134124359e-06,0.5279797179348245,-0.37302984928656924,0.24909839069699768,0.4565060559489723,0.13040968951835574,0.00022191287410543213
Greater White-fronted Goose,Spring,3,March,8,0.014683142079430351,-0.0011806219303426072,-8.792521894174155e-05,0.00017831244998510852,-0.6735639759278784,-0.4785081475867269,0.723209271906584,0.5196843875321137,0.15944767818119887,0.000996202510195874
Green-backed Flycatcher,Spring,5,May,9,0.013204983251681613,-0.0005368003572483341,-1.0546229722502431e-05,2.600705765160455e-05,-0.632093068551977,-0.07609670130183845,0.6472325907546321,0.891370053464587,0.8261920855433391,0.00026512210337464474
Gull-billed Tern,Spring,5,May,9,0.012682449590839062,-0.000357024748072055,-6.648385853738954e-05,3.797141336686998e-07,-0.4784151905009898,-0.545912738484513,0.01075385874461954,0.33065997147623327,-0.07094404563802681,0.0005783039317627604
Hair-crested Drongo,Spring,5,May,9,-0.011147815144070516,0.0002665106413485722,0.00015756980758498154,-3.8280619026144024e-05,0.2432798191387547,0.881383481228557,-0.7385355535768778,0.4900282115751623,0.18404513852025972,0.0007410046467905748
Hen Harrier,Spring,3,March,9,-0.007551808624693856,0.0009512685026632327,2.5787292643146368e-05,2.4975841971739925e-05,0.5846210096720376,0.1495560167679953,0.11487583857344753,0.31737877801633296,-0.0921939551738673,0.001086030184377057
Hen Harrier,Spring,4,April,9,0.00685843994335779,-0.0004509061608144635,8.424768768908707e-05,-4.997506358817676e-06,-0.3096555883760045,0.4397136476519203,-0.06511686899097895,0.18982594600768044,-0.29627848638771126,0.0010398805587613002
Hen Harrier,Spring,5,May,9,0.0017489926556722203,-2.8275723525699544e-05,-2.0191179669963098e-05,7.970028218429021e-06,-0.09007609844277069,-0.3941467100688021,0.5366073597008028,0.1827644447585416,-0.30757688838633346,0.00026879251552401026
Himalayan Owl,Spring,5,May,9,-0.007109404528510709,0.00030771525934879506,2.1853653591845626e-05,-3.546631934545618e-06,0.643163849294203,0.27989621111344587,-0.156671369017091,0.37071546402976174,-0.006855257552381255,0.0003594929042071029
Hume's Warbler,Spring,4,April,9,-0.0021411069440510056,0.0003366749747064202,-4.387497172954146e-05,-1.3431224634333128e-05,0.45140581149484654,-0.44708732936327816,-0.341679815841336,0.578977416563739,0.32636386650198246,0.0003839577451696099
Hume's Warbler,Spring,5,May,9,0.009012154019247912,-0.00031755192484802554,-2.668884775541814e-05,4.678722648126193e-06,-0.5778956420519215,-0.2976218873185121,0.17995457680007876,0.30423349514687237,-0.11322640776500426,0.00043414667005291663
Japanese Quail,Spring,3,March,9,0.0007753240245586574,-9.929552443086828e-05,7.537143858158302e-06,9.617269916622017e-05,-0.07585663631260187,0.05433723698935268,0.5498610631919335,0.3342935176528943,-0.06513037175536907,0.0008627814325766656
Japanese Quail,Spring,4,April,8,0.009351175301347192,-0.0005902855128173152,2.8336151000466282e-05,1.7560660195228826e-05,-0.8106156472815114,0.29640761006883587,0.4261536085081338,0.6472756008041384,0.3827323014072421,0.0003466773990007482
Japanese Quail,Spring,5,May,9,0.004667557933060039,-1.09723031318058e-05,-6.890090347984451e-05,-6.074301573319476e-06,-0.017730359113499447,-0.682252323760655,-0.20745170559284692,0.6737993946760041,0.4780790314816066,0.000334781948072526
Kentish Plover,Spring,3,March,8,0.007385085360232065,-0.00037298422006171514,-7.263510394181158e-05,6.372214972032704e-05,-0.2910721170492557,-0.5407102238331348,0.353520723496503,0.1289111567934047,-0.5244054756115417,0.0009807839837681098
Kentish Plover,Spring,4,April,9,0.0018716431934998772,-0.00021738982617648095,0.00011735225571857095,1.6777129409344106e-05,-0.1028636033907789,0.4220201262459896,0.15062171039975253,0.27513098545753933,-0.15979042326793702,0.0014275597537824383
